SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
2972,1,0.5,24,15,0.025,0,0,0,0.1,0.038,16,0.11,1.08,0.37,0.05,3.163,14.5,64.1,35.7,31.1,43,5.18,33,4,3,14,1,1
2973,2,0.8,36,12,0.027,0.3,0.154,0,0.099,0.071,29,0.07,1.979,0.168,0.077,5.982,14.2,37.7,38.7,42.6,51,8.492,32,3,5,15,1,1
2974,1,0.25,24,15,0.012,0,0,0,0.177,0.022,7,0.065,0.474,0.05,0.016,2.598,10.2,55.3,49.2,33.3,34,1.753,33,1,3,13,1,1
2975,2,0.4,24,14,0.019,0,0,0,0.3,0.053,9,0.13,0.89,0.6,0.17,4.844,13.1,36.6,30.3,27.6,26,4.03,40,6,3,14.5,1,1
2976,1,0.8,36,15,0.028,0,0,0,0.092,0.64,4,0.2,1.878,0.35,0.1,7.582,13.1,33.9,37.6,33.1,32,5.4,40,5,4,13.5,1,1
2977,1,0.2,18,15,0.013,0,0,0,0.092,0.032,6,0.015,0.57,0.065,0.035,4.819,8,39.4,33.3,28.3,28,1.137,46,3,5,13,1,1
2978,2,0.2,24,15,0.01,0,0,0,0.185,0.052,6,0.287,1.256,0.074,0.075,5.8,10.7,19,15.9,11.6,28,4.554,37,6,3,15,1,1
2979,1,0.2,24,15,0.01,0,0,0,0.2,0.025,7,0.12,0.386,0.05,0.04,1.76,17,39.3,50.5,27.9,31,2.186,35,1,5,13,1,1
2980,2,0.8,24,15,0.039,0,0,0,0.374,0.098,19,0.1,2.545,0.305,0.001,5.816,20.2,40,28.1,24.1,35,5.213,39,10,3,15,1,1
2982,1,0.3,24,15,0.015,0,0,0,0.21,0.047,6,0.35,1.8,0.76,0.19,2.8,20,31.5,12.7,10.2,39,2.75,33,2,2,14,1,1
2983,2,0.8,30,15,0.032,0.8,0.334,0.029,0.17,0.097,9,0.15,2.78,0.62,0.36,13.225,8.8,58.5,37.3,33.8,41,10.303,38,3,4,15,1,1
2984,1,0.3,24,15,0.015,0,0,0,0.2,0.028,17,0.25,0.649,0.18,0.09,4.992,6.8,52.3,40.6,25.2,50,2.479,40,1,4,13.5,1,1
2988,2,0.8,30,14,0.032,0.8,0.095,0.033,0.19,0.139,11,0.45,2.85,0.73,0.45,30.5,5.5,46.7,28.6,23.7,40,10.705,40,12,4,15,1,1
2989,1,0.8,24,15,0.039,0,0,0,0.11,0.06,34,0.165,5.016,0.15,0.055,9.03,8,65.2,15.7,14.9,55,13.239,45,2,0,7,1,1
2991,1,0.5,24,14,0.024,0.2,0,0.01,0.478,0.117,16,0.2,0.433,0.015,0,3.971,35.3,20.8,111.6,44.4,24,6.261,41,11,4,14.5,1,1
2992,2,0.8,24,15,0.039,3,2.8,0,0.23,0.46,20,0.1,4.32,1.65,0.13,41.23,13.4,8.5,13.7,58.4,37,60.205,42,6,4,12.5,1,1
