SRL_NO,AGENTBOOTH_BRANCH,REQ_LIMIT,LOAN_TENOR,INTEREST_RATE,PROPOSED_EMI,EXISTING_LOAN,OUTSTANDING_AMOUNT,EXT_LOAN_EMI,BUS_ASSETS,MONTHLY_INCOME,BUSINESS_AGE,CASH_IN_HAND,STOCK,RECEIVABLE,PAYABLE,YEARLY_SALES,NET_PROFIT_MARGIN,DEBT_BUR_RATIO,LOAN_TO_PRICE,DEBT_EQU_RATIO,OWNER_AGE,OWNER_PNW,GUARANTOR_AGE,GUARANTOR_PNW,ELIGIBILITY_PART1,ELIGIBILITY_PART2,CIB_STATUS,APPROVED
"7,633",1,0.400,24,14,0.019,0,0,0,0.166,0.082,6,0.818,0.71,0.25,0.075,9.85,10,23.7,45.2,21.4,27,5.147,34,6,4,14.500,1,1
"7,634",1,0.500,24,14,0.024,0.4,0.015,0.02,0.154,0.095,10,0.1,0.986,0.29,0.08,6.244,18.2,25.6,41.8,34.5,38,7.071,35,7,4,15,1,1
"7,635",1,0.500,24,14,0.024,0.3,0.145,0.02,0.45,0.084,10,0.15,1.415,0.35,0.13,8.825,11.4,28.9,30.6,22.4,34,3.59,38,3,0,7.500,1,1
"7,636",2,2,36,13,0.068,1.5,0.054,0.054,0.112,0.327,6,0.1,3.418,2.795,0.86,66.865,5.9,20.8,37.4,35.9,36,17.436,41,5,2,15,0,0
"7,638",2,0.800,36,14,0.028,0.5,0.096,0.024,0.15,0.096,10,0.08,1.32,0.25,0.09,6.5,17.8,53.8,60.5,52.4,42,6.876,35,8,3,14.500,1,1
"7,639",2,0.800,36,14,0.028,0,0,0,0.368,0.079,11,0.18,1.49,0.39,0.095,7.81,12.1,35,44.8,34.3,39,4.755,38,7,3,15.500,1,1
"7,640",1,0.600,36,14,0.021,0,0,0,0.241,0.059,4,0.08,0.955,0.109,0.025,6.612,10.7,35.1,57.7,44.1,35,5.859,32,2,4,13.500,1,1
"7,641",2,0.800,36,14,0.028,0,0,0,0.17,0.161,12,0.085,2.975,0.123,0.146,10.461,18.5,17.2,27.1,25,50,11.462,34,4,2,14,1,1
"7,642",2,0.800,36,14,0.028,0,0,0,0.175,0.101,7,0.05,1.215,1.075,0.235,15.28,7.9,27.3,38.9,38,27,12,26,6,3,12.500,0,0
"7,645",2,0.800,36,13,0.027,0,0,0,1.23,0.173,18,0.15,2.075,5,0.081,12.086,17.2,15.7,11.4,9.6,54,12.05,47,13,2,15.500,1,1
"7,646",1,0.500,24,14,0.024,0.4,0.002,0,0.45,0.129,30,0.08,3.469,0.48,0.17,14.04,11,18.8,13.2,11.6,56,17.347,34,11,5,14.500,1,1
"7,647",2,1.500,48,14,0.041,0,0,0,2.915,0.101,7,0.15,0.207,0,0,5.354,22.6,68.7,726.4,45.9,40,25.873,41,16,2,5.500,1,1
"7,648",2,0.600,15,14,0.01,0.3,0,0.006,0.193,0.048,6,0.085,0.806,0.365,0.06,5.784,10,39.7,54,43.2,23,2.107,40,3,0,7,1,1
"7,650",2,0,0,0,0,0,0,0,0.167,0.049,10,0.08,0.461,0.185,0,5.533,10.5,0,0,0,33,4.319,32,4,4,12.500,0,0
"7,651",2,0.800,9,14,0.012,0,0,0,0.715,0.134,8,0.1,2.937,3.376,1.22,15.666,10.2,9.3,15.7,13.5,27,10.2,25,7,2,7.500,1,1
"7,652",2,0.500,24,13,0.024,0.3,0.028,0.014,0.38,0.083,6,0.189,1.62,0.21,0.023,5.25,18.9,29,27.7,21,45,18.365,34,4,4,14,1,1
"7,653",1,0.600,6,14,0.014,0.4,0,0,0.385,0.071,7,0.033,1.022,0.526,0.126,8.278,10.3,19.7,42.2,32.6,27,5.132,39,5,3.500,14.500,1,1
"7,654",2,0.250,24,14,0.012,0,0,0,0.267,0.049,10,0.08,0.461,0.185,0,5.533,10.5,25,38.7,25.2,33,4.319,32,4,4,12.500,1,1
"7,655",1,0.300,24,14,0.015,0,0,0,0.165,0.032,6,0.019,0.44,0.109,0.021,4.058,9.5,45.5,56.8,42.1,46,4.41,44,6,3,13,1,1
"7,656",2,0.400,7,14,0.008,0,0,0,0.367,0.059,4,0.05,1.48,1.264,0.795,8.799,8,10.6,20.5,20,41,8.3,37,4,2,14,1,1
